iter	Passed	Remaining
608	367323	235834
609	367869	235195
610	368415	234555
611	369078	233990
612	369638	233360
613	370222	232745
614	370823	232141
615	371416	231532
616	372063	230956
617	372674	230358
618	373256	229742
619	373902	229166
620	374581	228609
621	375236	228037
622	375913	227479
623	376529	226883
624	377137	226282
625	377777	225700
626	378404	225111
627	379081	224551
628	379751	223987
629	380413	223417
630	381059	222838
631	381701	222256
632	382238	221613
633	382848	221013
634	383472	220421
635	384180	219876
636	384806	219285
637	385487	218724
638	386121	218137
639	386745	217544
640	387381	216957
641	387837	216270
642	388570	215738
643	389262	215182
644	389869	214579
645	390512	213996
646	391130	213399
647	391670	212759
648	392293	212164
649	392964	211596
650	393594	211005
651	394231	210417
652	394869	209831
653	395457	209217
654	396140	208654
655	396721	208036
656	397364	207452
657	397994	206860
658	398611	206261
659	399216	205657
660	399759	205020
661	400359	204413
662	400969	203811
663	401577	203207
664	402254	202639
665	402843	202026
666	403475	201435
667	404074	200827
668	404704	200234
669	405348	199649
670	406038	199085
671	406656	198487
672	407307	197904
673	407829	197258
674	408459	196665
675	409113	196083
676	409731	195484
677	410393	194906
678	411033	194317
679	411736	193758
680	412429	193193
681	413009	192576
682	413594	191961
683	414266	191386
684	414966	190823
685	415567	190215
686	416204	189624
687	416735	188984
688	417403	188407
689	418091	187838
690	418821	187287
691	419471	186701
692	420053	186084
693	420685	185489
694	421270	184874
695	421930	184291
696	422539	183686
697	423154	183083
698	423846	182514
699	424429	181898
700	425099	181319
701	425759	180735
702	426414	180149
703	426978	179525
704	427610	178929
705	428257	178339
706	428935	177762
707	429534	177152
708	430121	176537
709	430711	175924
710	431362	175335
711	431909	174705
712	432507	174094
713	433106	173485
714	433689	172869
715	434358	172287
716	434812	171620
717	435320	170975
718	435884	170352
719	436446	169729
720	437007	169105
721	437576	168485
722	438138	167862
723	438715	167245
724	439345	166648
725	440036	166074
726	440675	165480
727	441298	164880
728	441945	164289
729	442573	163691
730	443191	163089
731	443848	162501
732	444496	161910
733	445107	161306
734	445843	160746
735	446430	160132
736	447039	159526
737	447650	158921
738	448269	158319
739	448926	157731
740	449518	157119
741	450117	156509
742	450668	155883
743	451216	155257
744	451779	154635
745	452351	154017
746	452962	153413
747	453551	152800
748	454081	152168
749	454749	151583
750	455363	150979
751	456087	150411
752	456725	149815
753	457386	149226
754	457895	148588
755	458459	147968
756	459128	147382
757	459794	146794
758	460244	146138
759	460781	145509
760	461369	144897
761	462010	144302
762	462627	143699
763	463151	143067
764	463698	142443
765	464300	141835
766	464890	141224
767	465439	140601
768	465964	139971
769	466573	139366
770	467070	138727
771	467702	138129
772	468302	137522
773	469041	136955
774	469609	136338
775	470274	135749
776	470925	135156
777	471498	134540
778	472104	133934
779	472594	133295
780	473208	132692
781	473883	132105
782	474509	131505
783	475199	130922
784	475824	130321
785	476383	129702
786	477023	129105
787	477641	128502
788	478280	127905
789	478929	127310
790	479416	126672
791	479884	126030
792	480354	125388
793	480798	124741
794	481285	124105
795	481753	123464
796	482203	122819
797	482681	122182
798	483123	121536
799	483544	120886
800	483947	120231
801	484384	119586
802	484911	118963
803	485507	118357
804	486186	117771
805	486834	117178
806	487489	116586
807	488053	115972
808	488672	115372
809	489340	114783
810	489903	114169
811	490542	113573
812	491237	112990
813	491848	112387
814	492471	111787
815	493096	111188
816	493740	110593
817	494408	110002
818	495038	109404
819	495635	108798
820	496267	108199
821	496833	107586
822	497413	106977
823	498036	106376
824	498718	105788
825	499232	105165
826	499829	104559
827	500519	103972
828	501114	103366
829	501716	102761
830	502340	102160
831	502921	101551
832	503592	100960
833	504178	100352
834	504802	99751
835	505480	99161
836	506129	98565
837	506820	97977
838	507447	97376
839	508105	96782
840	508850	96203
841	509438	95595
842	510070	94995
843	510649	94385
844	511319	93792
845	511936	93189
846	512528	92581
847	513137	91977
848	513780	91379
849	514283	90755
850	514884	90150
851	515558	89557
852	516199	88958
853	516807	88353
854	517433	87751
855	517996	87139
856	518683	86548
857	519321	85948
858	519930	85343
859	520599	84748
860	521205	84143
861	521827	83540
